locationtext,detectorid,starttime,volume,speed,length
Foster NB,1361,2011-09-22 01:32:20,0,,1.6
Foster NB,1361,2011-09-22 01:32:40,1,68,1.6
Foster NB,1361,2011-09-22 01:33:00,0,,1.6
Foster NB,1361,2011-09-22 01:33:20,0,,1.6
Foster NB,1361,2011-09-22 01:33:40,0,,1.6
Foster NB,1361,2011-09-22 01:34:00,0,,1.6
Foster NB,1361,2011-09-22 01:34:20,0,,1.6
Foster NB,1361,2011-09-22 01:34:40,0,,1.6
Foster NB,1361,2011-09-22 01:35:00,0,,1.6
Foster NB,1361,2011-09-22 01:35:20,1,68,1.6
Foster NB,1361,2011-09-22 01:35:40,0,,1.6
Foster NB,1361,2011-09-22 01:36:00,0,,1.6
Foster NB,1361,2011-09-22 01:36:20,0,,1.6
Foster NB,1361,2011-09-22 01:36:40,0,,1.6
Foster NB,1361,2011-09-22 01:37:00,0,,1.6
Foster NB,1361,2011-09-22 01:37:20,0,,1.6
Foster NB,1361,2011-09-22 01:37:40,0,,1.6
Foster NB,1361,2011-09-22 01:38:00,0,,1.6
Foster NB,1361,2011-09-22 01:38:20,0,,1.6
Foster NB,1361,2011-09-22 01:38:40,2,63,1.6
Foster NB,1361,2011-09-22 01:39:00,0,,1.6
Foster NB,1361,2011-09-22 01:39:20,0,,1.6
Foster NB,1361,2011-09-22 01:39:40,0,,1.6
Foster NB,1361,2011-09-22 01:40:00,0,,1.6
Foster NB,1361,2011-09-22 01:40:20,0,,1.6
Foster NB,1361,2011-09-22 01:40:40,0,,1.6
Foster NB,1361,2011-09-22 01:41:00,0,,1.6
Foster NB,1361,2011-09-22 01:41:20,1,67,1.6
Foster NB,1361,2011-09-22 01:41:40,0,,1.6
Foster NB,1361,2011-09-22 01:42:00,0,,1.6
Foster NB,1361,2011-09-22 01:42:20,2,67,1.6
Foster NB,1361,2011-09-22 01:42:40,1,68,1.6
Foster NB,1361,2011-09-22 01:43:00,0,,1.6
Foster NB,1361,2011-09-22 01:43:20,0,,1.6
Foster NB,1361,2011-09-22 01:43:40,0,,1.6
Foster NB,1361,2011-09-22 01:44:00,0,,1.6
Foster NB,1361,2011-09-22 01:44:20,0,,1.6
Foster NB,1361,2011-09-22 01:44:40,0,,1.6
Foster NB,1361,2011-09-22 01:45:00,0,,1.6
